Stazione Magic Pass,lat,lon,name,nat_abbr,wmo_ind,chx,chy,lon_2,lat_2,height,climate.region,climate.region.nr,first.year.daily.obs,last.year.daily.obs,nr.years.daily.obs.in.standard.per,nr.na.years.daily.obs.in.standard.per,first.year.hourly.obs,last.year.hourly.obs,nr.years.hourly.obs,nr.na.years.hourly.obs,has.hourly.data,n,distance,feature_x,feature_y,nearest_x,nearest_y
Aeschiallmend,46.647366,7.732993,Hondrich,HON,NA,"2618524.97","1169129.74","7.68073056","46.6731333","760",Western Alpine North- slope,"8","1962","2020","59","0",NA,NA,NA,NA,FALSE,1,0.0582693434324075,7.732993,46.647366,7.68073056,46.6731333
Anzère,46.295128,7.394955,Montana,MVE,"6724","2601708.75","1127488.92","7.46081389","46.2988056","1422.86",Valais,"10","1961","2020","60","0","1982","2021","40","0",TRUE,1,0.0659614897784461,7.394955,46.295128,7.46081389,46.2988056
Axalp,46.738341,8.059329,Brienz,BRZ,"6656","2647552.72","1176803.02","8.06086389","46.7407194","567.15",Western Alpine North- slope,"8","1961","2020","60","0","2012","2020","8","1",FALSE,1,0.00283066668333171,8.059329,46.738341,8.06086389,46.7407194
Balmberg,47.265914,7.543444,Riedholz / Wallierhof,WHF,NA,"2609394.37","1231491.35","7.56269722","47.2342778","518",Central plateau,"4","1970","2020","51","0","2016","2020","4","1",FALSE,1,0.037034249429528,7.543444,47.265914,7.56269722,47.2342778
Belalp,46.371792,7.975012,Brig,BRI,NA,"2640566.78","1129068.74","7.96526389","46.3117944","665",Valais,"10","1962","2012","51","0","2014","2020","7","0",FALSE,1,0.0607843536967567,7.975012,46.371792,7.96526389,46.3117944
Bugnenets-Savagnières,47.126057,7.01847,Chasseral,CHA,"6605","2570845.43","1220157.84","7.05436667","47.1317611","1594.2",Western Jura,"2","1981","2020","40","0","1982","2021","40","0",TRUE,1,0.0363470449128796,7.01847,47.126057,7.05436667,47.1317611
Bumbach,46.807377,7.888115,"Marbach, LU",MBA,NA,"2635347.42","1189679.99","7.90215833","46.8573111","864",Central Alpine north slope,"7","1961","2020","60","0",NA,NA,NA,NA,FALSE,1,0.0518712777970462,7.888115,46.807377,7.90215833,46.8573111
Charmey,46.622372,7.188038,La Valsainte,VST,NA,"2580089.68","1166314.08","7.17856111","46.6477667","1044",Western Alpine North- slope,"8","1961","2020","60","0","2018","2020","3","0",FALSE,1,0.027105391201052,7.188038,46.622372,7.17856111,46.6477667
Crêt-du-Puy,47.090527,6.993179,Chaumont,CHM,"6608","2565060.25","1211006.92","6.978825","47.0491694","1136",Western Jura,"2","1961","2020","60","0","2013","2020","7","1",FALSE,1,0.0437777157211338,6.993179,47.090527,6.978825,47.0491694
Eischoll,46.289505,7.776881,Visp,VIS,"6727","2631150.61","1128024.02","7.84295833","46.3029","639.43",Valais,"10","1981","2020","40","0","1982","2021","40","0",TRUE,1,0.0674213583735075,7.776881,46.289505,7.84295833,46.3029
