name,nat_abbr,wmo_ind,chx,chy,lon,lat,height,climate.region,climate.region.nr,first.year.daily.obs,last.year.daily.obs,nr.years.daily.obs.in.standard.per,nr.na.years.daily.obs.in.standard.per,first.year.hourly.obs,last.year.hourly.obs,nr.years.hourly.obs,nr.na.years.hourly.obs,has.hourly.data
Aarberg,ABE,NA,2588051.14,1209518.31,7.281425,47.0365917,493,Central plateau,4,1961,2020,60,0,NA,NA,NA,NA,FALSE
L'Abergement,ABG,NA,2527539.7,1178770.66,6.49021111,46.7561778,647,Western Jura,2,1962,2020,59,0,NA,NA,NA,NA,FALSE
Adelboden,ABO,6735,2609371.81,1148939.38,7.56070278,46.4917028,1321.38,Western Alpine North- slope,8,1961,2020,60,0,1984,2021,38,0,TRUE
Andelfingen,AFI,NA,2693811.07,1273069.79,8.68609722,47.6016028,382,North-eastern plateau,3,1961,2020,60,0,NA,NA,NA,NA,FALSE
Affeltrangen,AFT,NA,2718739.86,1266351.62,9.01571944,47.5371556,541,North-eastern plateau,3,1961,2020,60,0,NA,NA,NA,NA,FALSE
Affoltern i. E.,AIE,NA,2622940.37,1212500.14,7.74061389,47.063125,755,Central plateau,4,1961,2020,60,0,2013,2020,8,0,FALSE
Aigle,AIG,6712,2560403.97,1130713.31,6.92447222,46.3266472,381.02,Western Alpine North- slope,8,1981,2020,40,0,1982,2021,40,0,TRUE
Airolo,AIR,NA,2688910.28,1153399.62,8.59744444,46.5259861,1139,Alpine south side,12,1961,2020,60,0,2014,2020,7,0,FALSE
Altmatt,ALM,NA,2695420.77,1220769.85,8.69635833,47.1310306,920,Central Alpine north slope,7,1974,2020,47,0,NA,NA,NA,NA,FALSE
"Altstätten, SG",ALS,NA,2759910.36,1250201.72,9.55653056,47.383225,430,Eastern Alpine north slope,6,1961,2020,60,0,2014,2020,6,1,FALSE
Altdorf,ALT,6672,2690180.92,1193563.72,8.62189444,46.8870694,437.86,Central Alpine north slope,7,1961,2020,60,0,1982,2021,40,0,TRUE
Alvaneu Dorf,ALV,NA,2768985,1171899,9.64745833,46.6769083,1162,Northern and central Grisons,9,1974,2020,47,0,NA,NA,NA,NA,FALSE
"Allenwinden, TG",ALW,NA,2713800.82,1249549.82,8.94585278,47.3869417,865,North-eastern plateau,3,1974,2020,47,0,NA,NA,NA,NA,FALSE
Amriswil,AMW,NA,2741796.69,1268303.53,9.322475,47.5501361,420,North-eastern plateau,3,1961,2020,60,0,2016,2020,4,1,FALSE
Andeer,AND,6787,2752692.28,1164037.6,9.43198056,46.6101389,987.1,Northern and central Grisons,9,1961,2020,60,0,2008,2020,12,1,FALSE
Andermatt,ANT,6695,2687444.59,1165043.77,8.58055278,46.6309139,1438,Central Alpine north slope,7,1961,2020,60,0,2014,2020,7,0,FALSE
Appenzell,APP,NA,2748012.64,1245039.62,9.39731389,47.3395917,750,Eastern Alpine north slope,6,1961,2012,52,0,2013,2020,8,0,FALSE
Alpthal,APT,NA,2696860.71,1212929.82,8.71365556,47.0603083,1015,Central Alpine north slope,7,1974,2020,47,0,NA,NA,NA,NA,FALSE
Arbon,ARB,NA,2750506.63,1263114.52,9.43639167,47.5015417,401,North-eastern plateau,3,1961,2020,60,0,NA,NA,NA,NA,FALSE
Arisdorf,ARI,NA,2625310.59,1261860.45,7.77459444,47.5070056,480,Eastern Jura,1,1961,2020,60,0,NA,NA,NA,NA,FALSE
Arosa,ARO,6785,2771030.9,1184830.2,9.67901389,46.7926611,1878,Northern and central Grisons,9,1961,2020,60,0,2016,2020,5,0,FALSE
Stalden / Ackersand,AST,NA,2633629.61,1121149.59,7.87463889,46.2409417,700,Valais,10,1962,2020,59,0,NA,NA,NA,NA,FALSE
L' Auberson,AUB,NA,2523851.81,1186295.57,6.44069167,46.82345,1096,Western Jura,2,1961,2020,60,0,2015,2020,6,0,FALSE
Les Avants,AVA,NA,2561879.65,1145178.33,6.94244444,46.45685,1036,Western plateau,5,1975,2020,46,0,2016,2020,4,1,FALSE
Avers / Am Bach,AVB,NA,2761959.89,1146802.54,9.54686111,46.452975,1993,Northern and central Grisons,9,1962,2020,59,0,NA,NA,NA,NA,FALSE
Avenches,AVE,NA,2569652.91,1191910.23,7.04053889,46.8776194,457,Western plateau,5,1961,2020,60,0,NA,NA,NA,NA,FALSE
Bauma,BAM,NA,2710805.79,1247004.82,8.90556389,47.3645667,667,North-eastern plateau,3,1961,2020,60,0,NA,NA,NA,NA,FALSE
Basel / Binningen,BAS,6601,2610908.72,1265611.95,7.583525,47.5411417,316.172,Eastern Jura,1,1961,2020,60,0,1982,2021,40,0,TRUE
